Attrition,BusinessTravel,Department,Education,EnvironmentSatisfaction,Gender,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,OverTime,PercentSalaryHike,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion
Yes,Not_Travel,Research,Doctor,3,Female,4,2,Sales Representative,4,Single,Yes,6.82,4,24.23,7,3,16.18,11.39,15.94
Yes,Travel_Rarely,Human Resources,Doctor,3,Female,1,3,Sales Representative,4,Single,Yes,8.93,5,31.82,1,1,17.87,2.46,18.4
Yes,Not_Travel,Sales,Master,3,Female,5,1,Marketing Specialist,4,Single,No,3.71,1,0.5,8,2,16.6,18.3,0.53
Yes,Travel_Rarely,Human Resources,Bachelor,4,Female,2,4,Research Scientist,3,Divorced,No,6.44,1,18.92,6,1,12.66,13.97,17.07
No,Travel_Rarely,Finance,Master,4,Male,2,3,Research Scientist,4,Single,Yes,6.37,2,15.72,1,3,17.52,4.63,3.9
No,Travel_Frequently,Research,Doctor,4,Female,1,3,Sales Representative,1,Divorced,Yes,6.85,5,36.57,1,5,18.78,5.95,16.37
Yes,Travel_Frequently,Finance,Doctor,4,Female,3,1,Finance Manager,4,Divorced,Yes,8.23,1,29.16,4,4,18.18,16.82,17.02
No,Not_Travel,Human Resources,Bachelor,2,Male,5,3,Marketing Specialist,3,Divorced,Yes,2.48,5,15.82,3,3,5.43,1.98,14.08
Yes,Travel_Frequently,Human Resources,Bachelor,1,Male,5,4,Marketing Specialist,2,Single,No,8.81,5,18.53,8,1,15.38,7.15,8.09
Yes,Travel_Frequently,Research,Doctor,3,Male,5,5,Finance Manager,2,Divorced,Yes,1.99,3,19.85,2,3,24.04,4.91,17.66
No,Travel_Frequently,Sales,Doctor,4,Female,4,4,Research Scientist,3,Single,Yes,7.81,1,14.44,3,3,6.59,17.99,16.86
No,Travel_Frequently,Marketing,Bachelor,1,Female,1,2,Finance Manager,2,Divorced,No,0.13,4,38.53,2,3,20.64,3.99,3.56
Yes,Travel_Rarely,Marketing,Doctor,3,Female,4,4,Sales Representative,1,Married,No,4.25,5,2.19,4,5,21.48,18.3,18.52
Yes,Travel_Frequently,Marketing,Master,1,Male,5,5,Human Resources Manager,3,Single,No,2.27,4,37.98,7,5,17.94,11.75,0.36
No,Travel_Frequently,Human Resources,Doctor,4,Male,2,4,Research Scientist,1,Single,No,9.28,5,24.48,7,3,20.64,13.98,0.28
Yes,Travel_Rarely,Sales,Bachelor,4,Female,1,5,Research Scientist,3,Single,Yes,6.59,5,28.2,2,5,4.88,8.33,7.74
Yes,Travel_Rarely,Sales,Master,4,Female,4,2,Research Scientist,1,Single,Yes,9.69,3,39.97,5,4,21.71,1.84,6.7
No,Travel_Frequently,Human Resources,Doctor,4,Female,5,3,Sales Representative,3,Divorced,No,3.72,2,33.66,1,4,18.28,6.86,18.82
No,Travel_Frequently,Sales,Bachelor,2,Male,1,4,Research Scientist,4,Single,No,9.82,4,32.74,1,5,8.34,2,17.98
No,Travel_Frequently,Human Resources,Master,4,Female,1,4,Finance Manager,4,Married,Yes,2.7,3,27.72,2,1,28.55,11.04,7.43
Yes,Not_Travel,Marketing,Doctor,3,Male,4,2,Human Resources Manager,4,Single,No,6.96,5,12.32,2,5,1.33,14.86,11.53
Yes,Travel_Rarely,Research,Bachelor,1,Male,1,1,Sales Representative,4,Single,No,8.67,1,23.22,2,4,1.64,18.99,0.47
Yes,Travel_Frequently,Marketing,Doctor,3,Female,4,5,Marketing Specialist,4,Divorced,Yes,3.8,1,34.74,2,3,19.23,11.37,7.41
Yes,Travel_Frequently,Sales,Doctor,1,Male,2,2,Research Scientist,3,Single,No,8.73,4,3.67,4,4,16.08,2.36,3.5
No,Travel_Rarely,Finance,Master,1,Male,2,3,Human Resources Manager,2,Divorced,No,3.24,2,22.98,3,2,8.01,16.51,5.39
No,Not_Travel,Finance,Master,3,Male,1,1,Marketing Specialist,3,Divorced,Yes,8.55,4,3.92,8,1,25.08,17.78,18.81
Yes,Travel_Rarely,Human Resources,Doctor,3,Female,1,3,Marketing Specialist,4,Married,Yes,1.78,5,15.53,8,5,29.45,1.55,11.24
Yes,Travel_Frequently,Research,Master,4,Male,2,2,Sales Representative,3,Divorced,Yes,9,3,3.03,9,5,4.1,9.96,4.37
No,Travel_Frequently,Research,Bachelor,2,Female,1,3,Research Scientist,3,Married,Yes,3.22,5,21.62,5,1,3.07,2.13,15.83
No,Not_Travel,Finance,Master,1,Female,1,4,Research Scientist,4,Divorced,No,5.27,3,22.66,3,4,8.76,14.2,8.57
Yes,Travel_Rarely,Marketing,Doctor,2,Male,1,4,Sales Representative,3,Single,Yes,0.25,2,18.62,1,2,1.99,16.8,1.79
No,Travel_Rarely,Marketing,Doctor,4,Female,4,4,Marketing Specialist,4,Divorced,Yes,1.83,1,19.02,5,4,17.46,13.93,6.29
Yes,Travel_Rarely,Research,Master,3,Male,5,1,Research Scientist,3,Married,No,8.76,4,9.49,2,2,19.02,2.07,9.36
No,Not_Travel,Human Resources,Doctor,2,Female,4,1,Sales Representative,2,Divorced,Yes,4.35,1,26.57,2,1,2.35,1.7,19.36
No,Not_Travel,Research,Bachelor,4,Male,1,1,Sales Representative,4,Divorced,Yes,7.95,2,21.58,4,2,24.78,16.96,13.49
No,Travel_Frequently,Research,Bachelor,2,Male,5,5,Sales Representative,4,Divorced,Yes,5.6,2,5.23,6,4,26.83,11.94,8.48
Yes,Travel_Rarely,Human Resources,Master,1,Female,5,2,Human Resources Manager,4,Single,No,6.75,5,1.01,7,4,17.64,8.83,12.16
No,Travel_Rarely,Research,Bachelor,4,Female,5,1,Research Scientist,3,Divorced,Yes,9.75,1,20.83,5,5,29.82,1.1,16.04
Yes,Travel_Frequently,Research,Master,3,Female,4,4,Research Scientist,2,Divorced,No,4.31,2,14.73,2,5,5.33,2.37,0.39
Yes,Travel_Rarely,Marketing,Bachelor,4,Female,1,4,Finance Manager,1,Divorced,No,6.07,2,11.14,2,2,6.37,9.01,19.35
Yes,Travel_Rarely,Marketing,Bachelor,1,Female,5,5,Human Resources Manager,3,Married,No,2.9,2,33.68,1,4,11.45,6.23,11.14
No,Travel_Frequently,Finance,Bachelor,4,Female,4,4,Marketing Specialist,2,Divorced,Yes,2.65,2,20.07,1,5,24.81,5.25,3.65
Yes,Travel_Rarely,Research,Master,2,Female,2,3,Finance Manager,4,Single,Yes,7.51,1,12.23,1,2,14.37,15.78,16.62
Yes,Not_Travel,Finance,Master,2,Female,2,1,Marketing Specialist,1,Single,No,6.56,2,26.08,1,3,6.41,19.74,4.54
No,Travel_Frequently,Marketing,Doctor,4,Male,2,4,Sales Representative,4,Divorced,Yes,3.78,2,17.07,1,4,22.01,2.79,1.98
Yes,Not_Travel,Research,Master,3,Female,2,5,Finance Manager,1,Single,Yes,5.43,4,25.87,8,4,12.14,6.56,16.68
Yes,Travel_Rarely,Marketing,Bachelor,2,Male,4,4,Human Resources Manager,3,Married,No,5,2,35.05,2,3,0.26,6.12,9.53
No,Travel_Rarely,Human Resources,Doctor,4,Female,2,5,Finance Manager,4,Single,Yes,6.46,2,23.9,3,3,29.55,12.53,1.39
No,Travel_Rarely,Human Resources,Doctor,4,Male,4,5,Marketing Specialist,1,Married,No,3.55,3,26.32,7,1,7.81,8.89,3.85
No,Travel_Rarely,Sales,Master,4,Female,4,5,Research Scientist,4,Divorced,No,2.47,4,32.84,8,5,14.36,7.19,1.26
Yes,Not_Travel,Sales,Doctor,4,Female,3,2,Sales Representative,2,Single,No,3.98,5,1.07,2,3,26.13,13.68,18.33
Yes,Travel_Rarely,Human Resources,Bachelor,4,Male,2,5,Human Resources Manager,4,Married,Yes,3.76,5,6.83,1,5,5.92,4.8,4.68
No,Travel_Rarely,Research,Bachelor,1,Male,4,3,Sales Representative,4,Married,Yes,0.56,1,24.99,1,2,22.93,8.42,3.24
No,Travel_Frequently,Sales,Bachelor,4,Female,2,3,Research Scientist,4,Divorced,No,9.45,3,6.62,8,3,26.57,7.62,4.02
No,Not_Travel,Human Resources,Master,2,Female,1,5,Human Resources Manager,1,Married,No,2.14,1,21.92,3,3,16.12,13.64,1.45
Yes,Travel_Frequently,Marketing,Bachelor,4,Female,5,4,Marketing Specialist,3,Divorced,No,5.81,5,32.23,4,3,27.77,16.13,7.68
No,Travel_Rarely,Sales,Bachelor,4,Female,3,1,Marketing Specialist,4,Single,No,6.34,2,26.14,1,5,1.63,6.52,15.27
No,Travel_Rarely,Finance,Doctor,4,Female,2,2,Research Scientist,4,Single,No,1.93,2,8.72,4,2,11.76,9.48,19.04
Yes,Travel_Frequently,Finance,Master,2,Female,2,2,Sales Representative,2,Married,Yes,4.7,1,4.84,1,2,9.91,13.01,13.65
No,Travel_Frequently,Human Resources,Master,2,Male,1,4,Sales Representative,2,Divorced,No,8.47,3,14.59,1,1,21.29,14.39,16.24
Yes,Travel_Rarely,Finance,Doctor,1,Male,4,4,Human Resources Manager,2,Single,Yes,9.56,5,23.83,4,2,11.51,9.57,8.7
Yes,Not_Travel,Human Resources,Doctor,1,Male,2,5,Research Scientist,1,Divorced,No,4.14,2,1.79,5,3,2.42,3.01,18.73
Yes,Travel_Frequently,Marketing,Bachelor,2,Male,1,5,Marketing Specialist,1,Divorced,Yes,4.61,4,7.57,9,5,22.16,1.86,19.24
No,Travel_Frequently,Marketing,Doctor,2,Female,2,2,Sales Representative,1,Single,No,4.98,3,28.53,1,5,19.03,7.2,13.76
No,Travel_Rarely,Sales,Master,4,Female,3,5,Finance Manager,3,Single,Yes,6.89,1,23.62,4,5,2.21,6.03,16.34
No,Travel_Rarely,Sales,Master,3,Female,1,5,Sales Representative,3,Divorced,Yes,6.86,4,6.15,8,2,19.33,1.99,3.47
Yes,Travel_Frequently,Marketing,Doctor,1,Male,3,4,Finance Manager,1,Single,Yes,4.45,5,34.64,5,5,14.62,0.95,9.3
Yes,Travel_Frequently,Research,Doctor,4,Male,3,1,Human Resources Manager,1,Divorced,No,7.91,4,36.98,4,5,13.9,17.04,17.47
No,Travel_Rarely,Finance,Bachelor,4,Female,1,2,Sales Representative,4,Divorced,Yes,1.82,3,15.81,8,2,9.29,2.37,1.74
No,Not_Travel,Marketing,Bachelor,4,Male,1,1,Human Resources Manager,1,Married,Yes,8.72,4,14.03,1,3,12.83,7.28,16.19
No,Travel_Rarely,Finance,Master,4,Male,5,2,Sales Representative,4,Single,No,5.07,1,20.79,8,3,13.24,8.66,2.33
Yes,Travel_Rarely,Finance,Master,2,Male,3,5,Marketing Specialist,3,Divorced,No,9.46,3,2.4,5,4,29.71,3.69,18.7
No,Not_Travel,Finance,Doctor,3,Male,3,3,Sales Representative,4,Single,Yes,7.4,2,1.96,6,1,20.29,4.77,17.1
Yes,Travel_Frequently,Finance,Master,4,Female,3,3,Sales Representative,1,Divorced,No,7.6,5,38.26,8,1,28.26,4.25,15.44
Yes,Travel_Rarely,Marketing,Doctor,4,Female,1,4,Human Resources Manager,2,Single,No,2.5,5,36.35,7,3,27.38,7.05,7.93
Yes,Not_Travel,Human Resources,Doctor,1,Female,1,5,Human Resources Manager,2,Married,No,0.2,4,7.39,6,4,19.57,11.47,1.56
No,Not_Travel,Research,Master,1,Male,4,2,Research Scientist,4,Single,No,6.33,4,34.5,4,4,8.28,1.2,6.3
Yes,Travel_Frequently,Finance,Doctor,2,Male,1,3,Sales Representative,3,Divorced,No,9.63,5,25.55,9,3,26.42,16.06,14
Yes,Travel_Rarely,Human Resources,Doctor,1,Male,2,3,Research Scientist,4,Divorced,Yes,7.72,3,37.08,4,3,13.41,1.52,12.69
No,Travel_Frequently,Research,Bachelor,2,Male,3,3,Marketing Specialist,2,Married,Yes,8.88,2,28.59,5,2,5.45,4.14,5.2
Yes,Not_Travel,Finance,Doctor,4,Female,4,1,Human Resources Manager,2,Single,No,2.13,3,21.19,1,3,14.3,19.4,9.47
No,Travel_Rarely,Human Resources,Bachelor,4,Female,4,5,Marketing Specialist,4,Married,No,7.86,2,34.09,1,2,16.48,5.33,8.21
Yes,Travel_Rarely,Human Resources,Master,3,Male,1,3,Research Scientist,4,Married,No,9.19,4,15.63,8,3,7.33,11.91,2.17
Yes,Travel_Frequently,Marketing,Bachelor,4,Male,3,5,Human Resources Manager,4,Married,Yes,7.94,4,33.51,4,1,22.05,18.6,6.04
Yes,Travel_Rarely,Research,Doctor,4,Male,4,5,Finance Manager,2,Single,No,3.63,3,33.56,6,1,2.85,8.39,12.16
No,Not_Travel,Finance,Bachelor,3,Male,1,2,Research Scientist,3,Single,Yes,5.36,5,7.64,3,1,16.44,4.76,16.55
Yes,Travel_Rarely,Research,Doctor,3,Female,4,2,Finance Manager,3,Single,Yes,9.53,3,2.48,8,1,1.24,7.63,16.62
Yes,Travel_Frequently,Marketing,Doctor,4,Male,5,1,Sales Representative,1,Single,Yes,3.01,2,37.69,7,4,2.63,12.36,0.21
No,Not_Travel,Research,Doctor,2,Female,5,4,Finance Manager,3,Single,No,3.5,2,9.57,1,4,3.16,14,18.56
No,Not_Travel,Research,Doctor,4,Male,2,5,Sales Representative,4,Single,Yes,7.55,3,30.93,1,4,1.16,12.84,19.81
Yes,Travel_Frequently,Research,Bachelor,2,Male,5,4,Human Resources Manager,2,Single,Yes,4.26,5,29.77,5,4,4.46,9.73,8.86
Yes,Travel_Rarely,Research,Master,2,Male,3,4,Marketing Specialist,2,Divorced,Yes,7.08,2,0.43,4,1,6.69,0.98,11.64
No,Travel_Rarely,Finance,Bachelor,2,Female,5,1,Human Resources Manager,1,Divorced,Yes,1.1,1,32.29,6,4,4.33,11.8,0.78
No,Travel_Frequently,Sales,Master,3,Male,3,4,Human Resources Manager,4,Divorced,Yes,9.55,2,19.21,1,4,6.85,9.32,19.61
Yes,Travel_Rarely,Sales,Master,1,Male,2,5,Finance Manager,1,Married,No,5.67,1,18.59,1,2,11.95,16.41,8.55
Yes,Travel_Frequently,Human Resources,Master,2,Female,5,2,Marketing Specialist,2,Married,Yes,2.78,3,3.53,8,3,22.87,1.21,8.63
Yes,Travel_Rarely,Finance,Doctor,2,Female,2,2,Human Resources Manager,4,Married,No,3.42,5,39.75,7,5,20.15,19.87,1.33
No,Not_Travel,Human Resources,Master,1,Female,4,1,Finance Manager,4,Single,No,7.98,3,0.48,3,3,11.32,11.85,12.16
Yes,Not_Travel,Finance,Doctor,3,Female,3,1,Sales Representative,1,Divorced,No,9.53,4,32.62,7,4,19.55,0.56,0.65
No,Travel_Frequently,Research,Doctor,4,Male,1,1,Marketing Specialist,2,Single,No,9.26,3,34.85,1,2,8.79,18.55,19.01
Yes,Not_Travel,Human Resources,Bachelor,1,Male,2,4,Finance Manager,4,Single,Yes,1.06,1,9.59,7,3,7.27,9.98,3.9
No,Not_Travel,Finance,Doctor,3,Male,1,1,Human Resources Manager,1,Single,Yes,0.68,1,12.68,7,2,26.84,5.42,13.41
Yes,Not_Travel,Sales,Master,2,Male,4,2,Human Resources Manager,1,Divorced,Yes,4.78,4,1.71,1,2,0.49,17.05,1.91
No,Not_Travel,Marketing,Master,4,Female,1,2,Marketing Specialist,1,Divorced,Yes,0.71,1,39,1,5,1.12,5.12,13.59
Yes,Travel_Frequently,Finance,Bachelor,2,Male,3,3,Finance Manager,4,Single,No,3.79,4,6.49,1,1,26.72,16.53,9.21
No,Travel_Frequently,Research,Doctor,3,Female,3,5,Finance Manager,2,Single,No,8.83,2,36.62,9,3,0.64,19.96,5.18
Yes,Not_Travel,Marketing,Bachelor,2,Female,5,1,Finance Manager,4,Married,Yes,1.18,5,22.98,7,5,7.73,7.26,17.32
No,Travel_Rarely,Research,Master,4,Male,3,5,Research Scientist,1,Single,No,6.36,4,29.13,9,2,4.91,15.99,17.49
No,Not_Travel,Research,Bachelor,2,Female,3,2,Marketing Specialist,2,Single,No,5.75,1,19.36,1,3,25.45,12.86,4.48
No,Travel_Rarely,Finance,Bachelor,1,Female,1,3,Human Resources Manager,1,Single,No,4.17,2,1.83,5,2,22.82,1.79,3.14
Yes,Travel_Rarely,Marketing,Bachelor,4,Female,4,3,Human Resources Manager,4,Single,No,4.6,3,35.58,7,3,8.38,4.17,0.62
Yes,Travel_Frequently,Human Resources,Doctor,1,Male,1,4,Sales Representative,1,Divorced,Yes,2.99,4,27.62,7,3,3.79,9.85,0.56
Yes,Not_Travel,Human Resources,Bachelor,4,Male,5,5,Finance Manager,4,Single,No,2.74,5,38.62,1,4,18.6,6.26,1.75
No,Travel_Rarely,Research,Bachelor,4,Male,1,3,Marketing Specialist,4,Single,Yes,2.1,4,26.71,6,2,20.2,19.13,15.93
Yes,Not_Travel,Research,Doctor,3,Female,1,4,Research Scientist,1,Divorced,Yes,7.7,5,8.33,4,2,9.16,13.44,7.31
No,Travel_Rarely,Marketing,Master,4,Female,3,5,Sales Representative,4,Divorced,Yes,6.9,4,39.82,3,1,1.35,17.45,1.52
Yes,Not_Travel,Research,Doctor,2,Male,1,2,Human Resources Manager,1,Single,No,2.19,4,30.57,3,5,6,7.44,16.97
No,Travel_Rarely,Human Resources,Doctor,3,Female,3,5,Human Resources Manager,3,Divorced,No,4.73,3,3.96,4,3,1.66,3.97,12.48
No,Not_Travel,Sales,Bachelor,1,Male,5,1,Finance Manager,3,Divorced,Yes,4.76,3,35.22,1,3,26.78,11.47,9.22
No,Travel_Frequently,Finance,Bachelor,2,Female,3,4,Human Resources Manager,4,Single,Yes,5.28,4,25.02,7,2,6.17,2.31,8.69
Yes,Travel_Frequently,Research,Master,2,Female,5,3,Sales Representative,4,Divorced,No,9.24,3,33.18,3,3,2.09,3.26,6.95
No,Travel_Rarely,Human Resources,Bachelor,4,Male,4,4,Sales Representative,2,Single,No,4.41,1,16.35,3,1,4.16,6.23,4.3
Yes,Travel_Frequently,Marketing,Doctor,2,Female,4,3,Research Scientist,1,Single,No,9.65,2,18.26,7,1,12.26,3.31,0.66
Yes,Travel_Frequently,Marketing,Bachelor,1,Male,3,3,Finance Manager,3,Single,No,5.56,3,33.6,1,4,12.8,0.98,11.18
Yes,Travel_Rarely,Human Resources,Doctor,4,Female,5,1,Sales Representative,4,Single,No,2.76,2,8.97,2,2,20.75,13.7,1.25
No,Not_Travel,Finance,Bachelor,2,Male,4,3,Human Resources Manager,3,Single,No,5.62,5,30.16,2,5,5.84,18.98,8.96
No,Travel_Frequently,Sales,Bachelor,4,Female,5,2,Human Resources Manager,4,Married,Yes,7.92,1,12.37,1,2,4.85,6.68,16.32
No,Travel_Frequently,Human Resources,Bachelor,1,Female,2,5,Finance Manager,4,Divorced,No,2.44,3,27.77,5,4,16.18,15.56,12.07
No,Travel_Rarely,Human Resources,Doctor,3,Male,1,3,Marketing Specialist,3,Single,No,6.27,2,3.13,7,1,3.61,15.45,18.95
Yes,Travel_Rarely,Marketing,Master,2,Male,2,2,Finance Manager,2,Divorced,Yes,8.79,4,14.47,3,1,20.96,19.73,17.98
Yes,Not_Travel,Marketing,Master,2,Female,4,3,Human Resources Manager,3,Divorced,Yes,2.04,4,21.75,6,1,24.83,4.79,1.96
No,Travel_Rarely,Human Resources,Bachelor,1,Female,4,1,Finance Manager,1,Divorced,No,1.41,2,19.49,2,1,27.17,18.16,9.81
Yes,Travel_Frequently,Sales,Bachelor,3,Female,2,5,Marketing Specialist,4,Married,No,8.87,5,17.63,5,2,6.29,15.24,11.38
No,Not_Travel,Sales,Doctor,4,Male,1,2,Human Resources Manager,1,Single,Yes,6.53,1,22.26,5,4,7.07,1.32,19.21
Yes,Not_Travel,Marketing,Doctor,3,Male,1,1,Marketing Specialist,2,Divorced,Yes,5.24,3,25.86,6,5,25.63,3.06,8.18
No,Travel_Frequently,Finance,Master,2,Female,2,5,Sales Representative,4,Divorced,Yes,2.17,5,3.95,4,5,25.33,8.5,9.18
No,Not_Travel,Research,Doctor,4,Male,1,1,Finance Manager,3,Married,Yes,1.65,2,25.08,6,5,6.55,11.04,19.18
No,Travel_Rarely,Human Resources,Bachelor,4,Female,4,2,Finance Manager,2,Single,Yes,2.41,4,38.91,7,3,18.36,2.77,2.68
Yes,Travel_Frequently,Marketing,Bachelor,2,Female,5,4,Finance Manager,4,Single,No,9.52,1,37.26,8,5,22.53,16.89,8.51
No,Travel_Frequently,Sales,Bachelor,4,Female,3,4,Research Scientist,2,Divorced,Yes,1.6,4,27.74,1,3,28.17,11.72,17.62
No,Travel_Rarely,Research,Doctor,3,Female,2,3,Human Resources Manager,1,Single,Yes,1.26,4,24.18,4,3,8.6,1.6,17.84
Yes,Travel_Rarely,Research,Doctor,1,Female,4,2,Finance Manager,4,Single,No,8.41,3,38.12,9,3,27.66,9.9,17.16
No,Not_Travel,Finance,Bachelor,4,Female,2,1,Human Resources Manager,2,Single,No,7.87,5,14.08,5,5,9.1,8.08,18.04
No,Travel_Frequently,Research,Bachelor,4,Female,3,4,Marketing Specialist,4,Single,Yes,1.62,1,8.83,9,1,4.6,2.99,19.2
Yes,Travel_Frequently,Research,Bachelor,2,Female,2,3,Marketing Specialist,1,Single,No,5.67,2,29.69,3,5,18.19,16.47,15.99
Yes,Travel_Rarely,Finance,Doctor,1,Male,1,2,Finance Manager,1,Married,Yes,6.07,4,36.12,1,3,17.47,5.81,18.39
Yes,Travel_Rarely,Sales,Bachelor,2,Female,4,4,Research Scientist,4,Single,Yes,3.96,3,16.54,5,2,18.32,0.82,12.5
No,Travel_Rarely,Research,Master,4,Male,2,4,Human Resources Manager,4,Single,No,9.85,2,11.18,5,4,24.01,12.52,6.6
Yes,Travel_Rarely,Research,Bachelor,3,Male,4,4,Marketing Specialist,4,Divorced,Yes,0.16,5,25.77,8,1,9.94,3.37,17.98
No,Travel_Frequently,Human Resources,Bachelor,4,Male,3,2,Finance Manager,4,Divorced,No,6.92,1,9.78,1,3,27.05,9.42,8.01
Yes,Travel_Rarely,Research,Bachelor,1,Female,2,3,Finance Manager,4,Divorced,Yes,1.81,3,27.3,3,1,19.45,19.57,8.94
Yes,Travel_Rarely,Human Resources,Master,2,Female,2,4,Finance Manager,1,Married,Yes,0.71,1,32.99,1,2,6.29,6.6,2.98
Yes,Travel_Rarely,Research,Doctor,2,Female,3,1,Research Scientist,1,Married,No,6.42,5,11.35,1,2,7.28,18.85,5.79
No,Travel_Rarely,Sales,Master,2,Male,4,3,Sales Representative,4,Single,No,1.86,5,2.25,4,5,0.1,3.91,12.62
Yes,Travel_Rarely,Finance,Master,2,Male,3,1,Human Resources Manager,2,Divorced,Yes,1.58,2,39.81,6,5,29.95,6.72,5.54
No,Travel_Frequently,Finance,Master,4,Male,5,3,Sales Representative,4,Divorced,Yes,2.93,3,37.99,9,5,5.57,19.14,11.03
Yes,Not_Travel,Finance,Doctor,3,Male,2,5,Research Scientist,1,Single,No,0.57,5,4.7,9,5,20.77,19.7,13.27
Yes,Not_Travel,Human Resources,Bachelor,2,Female,4,2,Finance Manager,2,Married,No,8.52,1,7.13,1,5,3.3,1.66,5.56
Yes,Travel_Rarely,Research,Doctor,1,Female,1,2,Research Scientist,3,Married,No,5.73,3,11.5,6,3,15.83,11.7,17.88
Yes,Travel_Frequently,Sales,Master,1,Female,1,3,Marketing Specialist,2,Divorced,No,9.89,3,27.77,4,1,20.61,11.64,15.71
No,Travel_Rarely,Research,Doctor,4,Male,5,1,Sales Representative,2,Divorced,Yes,5.65,4,3.51,6,3,16.68,1.11,6.7
No,Travel_Rarely,Human Resources,Doctor,4,Female,3,3,Human Resources Manager,4,Married,No,2.07,5,27.41,1,2,23.66,1.14,3.47
Yes,Travel_Rarely,Sales,Bachelor,2,Male,5,5,Research Scientist,3,Single,Yes,6.97,3,21.87,7,1,20.54,16.04,18.12
No,Not_Travel,Sales,Bachelor,4,Female,1,2,Marketing Specialist,2,Married,Yes,1.53,2,23.12,8,3,3.11,3.28,16.22
No,Travel_Rarely,Human Resources,Bachelor,4,Female,1,4,Human Resources Manager,4,Married,No,9.02,2,0.17,1,3,3.61,16.54,7.55
Yes,Travel_Frequently,Research,Bachelor,1,Male,2,2,Marketing Specialist,4,Married,No,0.71,5,13.2,6,3,21.12,16.61,7.54
No,Not_Travel,Human Resources,Doctor,4,Male,4,3,Finance Manager,4,Single,Yes,9.72,5,28.19,9,3,0.65,13.47,17.37
Yes,Not_Travel,Finance,Bachelor,1,Female,5,5,Sales Representative,3,Single,Yes,6.39,2,17.24,9,4,3.79,16.98,9.68
No,Not_Travel,Human Resources,Bachelor,4,Male,1,5,Marketing Specialist,4,Single,Yes,3.92,1,8.01,7,1,17.98,14.21,19.05
Yes,Not_Travel,Research,Bachelor,3,Male,3,2,Marketing Specialist,4,Divorced,Yes,4.23,5,22.17,2,1,6.64,5.19,17.45
No,Travel_Frequently,Human Resources,Doctor,1,Male,5,5,Research Scientist,4,Single,No,7.81,5,39.32,6,4,26.25,2.96,9.66
Yes,Travel_Rarely,Marketing,Master,1,Female,2,1,Sales Representative,2,Divorced,Yes,8.89,4,13.83,5,5,1.16,15.08,9.79
Yes,Travel_Rarely,Finance,Bachelor,1,Female,2,2,Marketing Specialist,3,Married,Yes,1.7,1,31.04,8,1,1.76,12.58,13.72
No,Travel_Rarely,Human Resources,Master,4,Male,4,3,Human Resources Manager,4,Divorced,Yes,6.05,4,21.15,2,2,6.2,1.61,8.11
Yes,Travel_Rarely,Finance,Bachelor,2,Female,3,2,Research Scientist,4,Divorced,Yes,0.39,4,22.3,1,2,2.25,5.74,14.6
No,Travel_Rarely,Marketing,Master,3,Male,5,4,Marketing Specialist,4,Divorced,Yes,3.32,1,30.81,1,2,15.77,12.6,12.13
No,Not_Travel,Human Resources,Doctor,3,Female,1,3,Sales Representative,4,Divorced,Yes,4.21,3,16.2,1,4,1.54,5.78,2.88
No,Travel_Rarely,Finance,Master,1,Male,3,1,Human Resources Manager,1,Single,Yes,1.53,5,21.78,9,3,18.54,8.85,13.59
No,Travel_Rarely,Marketing,Master,4,Female,2,4,Research Scientist,2,Single,No,6.44,2,37.3,2,1,12.61,12.98,2.2
No,Travel_Rarely,Research,Bachelor,4,Male,3,1,Human Resources Manager,2,Married,No,4.6,4,21.68,7,1,29.21,11.82,7.6
Yes,Travel_Rarely,Human Resources,Master,3,Male,5,3,Human Resources Manager,3,Divorced,No,8.22,2,14.64,1,5,29.82,15.49,9.25
No,Travel_Rarely,Human Resources,Bachelor,3,Female,3,1,Finance Manager,4,Divorced,Yes,5.7,4,30.82,9,5,14.42,13.64,1.47
No,Not_Travel,Marketing,Bachelor,2,Male,5,2,Sales Representative,1,Divorced,Yes,3.61,1,1.26,1,4,4.18,11.16,9.2
Yes,Travel_Rarely,Sales,Bachelor,2,Male,3,3,Sales Representative,4,Divorced,No,4.46,1,24.74,1,5,12.96,4.92,6.45
Yes,Not_Travel,Marketing,Master,4,Female,4,2,Research Scientist,2,Single,No,2.77,3,31.62,4,3,5.13,5.69,3.62
Yes,Travel_Frequently,Human Resources,Bachelor,2,Female,3,5,Research Scientist,3,Married,No,3.19,1,38.67,4,3,8.58,13.44,14.07
Yes,Not_Travel,Research,Bachelor,2,Male,4,1,Human Resources Manager,1,Divorced,No,7.47,3,1.12,5,3,2.62,1.86,0.44
Yes,Travel_Frequently,Finance,Master,1,Female,2,1,Finance Manager,2,Divorced,No,0.54,4,3.81,6,1,25.61,13.57,6.13
No,Travel_Rarely,Research,Bachelor,1,Female,4,3,Sales Representative,1,Single,Yes,3.71,3,30.67,1,3,18.29,12.04,12.05
Yes,Travel_Frequently,Finance,Bachelor,4,Female,5,3,Marketing Specialist,1,Divorced,No,8.72,3,29.56,2,3,9.59,9.46,9.19
Yes,Travel_Frequently,Human Resources,Bachelor,3,Male,2,2,Research Scientist,4,Single,Yes,1.67,5,31.14,7,3,20.3,7.44,4.91
